ha_x;ha_y;anz_vzae;anz_vzae_w;anz_besch;anz_ast;ht;widl;handel;finanz;freiedl;gewerbe;gesundheit;bau;sonstdl;inform;unterricht;verkehr;uebrige;anz_vzae_w_share;ht_share;widl_share;handel_share;finanz_share;freiedl_share;gewerbe_share;gesundheit_share;bau_share;sonstdl_share;inform_share;unterricht_share;verkehr_share;uebrige_share
2672150;1252450;216.325344;47.2313355;248;26;0;61.6635046;70.9952142;3.0648544;52.7673586;7.6402721;3.6152279;55.10359;0;2.2160637;0;7.085214;13.8375491;0.218334729656087;0;0.285049839560177;0.328187224331884;0.0141678008842089;0.243925920210255;0.0353184326844292;0.0167119942266219;0.254725539694508;0;0.0102441242390905;0;0.0327525839968155;0.063966379732187
2672150;1252550;637.5885935;179.790995;777;52;19.873989;256.3156767;330.826975;4.8241168;59.9854727;21.0692148;103.8180147;9.9504835;13.0606543;80.3161712;7.3719013;0.438364;5.92722519999995;0.281985902559908;0.0311705529280301;0.402007939466063;0.518872166743052;0.00756619056422941;0.0940817845732053;0.033045156414016;0.162829159364502;0.0156064327396095;0.0204844541341375;0.125968645014663;0.0115621599494628;0.000687534257151042;0.00929631624597116
2672150;1252650;354.3765802;86.0067966;397;23;0;170.6790082;132.1653297;9.5801081;5.2509645;0;0;22.3584417;0.25;155.8479356;0;0;28.9238006;0.242698872909322;0;0.48163173792036;0.372951648287282;0.0270336941978312;0.0148174704350849;0;0;0.0630923231083204;0.000705464226385692;0.439780573287444;0;0;0.081618826457652
2672150;1253450;10.6829676;8.5253822;17;8;0;3.3127585;0;0;2.4962151;0;0.1004797;0;0;0;0.7160637;0;7.3702091;0.798035014165914;0;0.310097214934921;0;0;0.233663078787209;0;0.0094055981223794;0;0;0;0.067028538025333;0;0.689902785065079
2672150;1253550;5.4365996;3.4762301;7;3;0;0;2.866887;0;0;0.9917472;0;0;0;0;0;0;1.5779654;0.639412565898728;0;0;0.527330907356135;0;0;0.182420496812015;0;0;0;0;0;0;0.29024859583185
2672150;1261150;3.7924243;1.7924243;6;3;0;2.7924243;0;0;0;0;0.1924249;0;0;0;0;1;2.5999994;0.472632848597664;0;0.736316424298832;0;0;0;0;0.0507392856859397;0;0;0;0;0.263683575701168;0.685577138612892
2672250;1248350;120.2543305;17.9609216;274;6;0;86.9320564;23.7285954;0;0;0;0;0;0;0;86.9320564;0;9.5936787;0.149357794645075;0;0.722901670472482;0.197320090688959;0;0;0;0;0;0;0;0.722901670472482;0;0.0797782388385589
2672250;1248450;96.8695772;19.1916506;106;15;0;26.7056237;39.7300939;0;26.7056237;0;0;27.6832702;0.970026;0;0;0;1.78056339999999;0.198118451166317;0;0.275686386499476;0.410140056851616;0;0.275686386499476;0;0;0.285778786283378;0.0100137321544953;0;0;0;0.0183810382110349
2672250;1248550;153.3382;45.2319225;182;14;0;81.2862278;44.3968718;0.2;61.4050009;0;0;0;23.8551004;15.4596894;4.2215375;0;3.80000000000001;0.294981436458756;0;0.53011074735454;0.289535626477942;0.00130430642853509;0.400454687090366;0;0;0;0.155571804025351;0.100820861337879;0.0275308924977599;0;0.0247818221421669
2672250;1250350;3.4102666;1.867592;5;5;0;0.3399991;0.8266109;0;0.3399991;0;0;0;0;0;0;1.6343135;0.6093431;0.547638123072255;0;0.0996986863138501;0.242388938155158;0;0.0996986863138501;0;0;0;0;0;0;0.479233353779438;0.178679021751555
2672250;1250550;13.4918131;1.8986844;17;10;0;1.9179645;4.2214376;0;1.9179645;0;0;0;0.6093431;0;0;4.5905531;2.1525148;0.140728631943471;0;0.142157654110996;0.312888828855775;0;0.142157654110996;0;0;0;0.0451639149967175;0;0;0.340247308940264;0.159542293096248
2672250;1250650;24.4767573;12.3237191;35;7;0;5.5762293;1.0740679;0;5.2362302;0;0.3399991;0;8.8420442;0;0;0;8.9844159;0.503486591338633;0;0.227817322027375;0.0438811353495751;0;0.213926629897172;0;0.013890692130203;0;0.361242467359024;0;0;0;0.367059075264026
2672250;1250850;54.4377405;46.1339323;80;4;0;54.4377405;0;0;0;0;0;0;0;0;54.4377405;0;0;0.847462291349142;0;1;0;0;0;0;0;0;0;0;1;0;0
2672250;1251050;4.4860993;0.9182498;5;4;0;0;2.9182498;0;0;0;0;0;0;0;0;0.7160637;0.8517858;0.204687800825095;0;0;0.650509408028485;0;0;0;0;0;0;0;0;0.159618334797003;0.189872257174512
2672250;1251150;13.2557941;3.8203469;18;7;0;0.7160637;10.4166804;0;0.7160637;0;0;0;0.9686223;0;0;1.1544277;0;0.288202039891371;0;0.0540189214314969;0.785820926412851;0;0.0540189214314969;0;0;0;0.0730716162828751;0;0;0.0870885358727773;0
2672250;1251250;3.5836293;1.7408051;7;3;0;0.7396182;0;0.7396182;0;0;0;0;0;0;0;0.7160637;2.1279474;0.485765952410312;0;0.206388032378237;0;0.206388032378237;0;0;0;0;0;0;0;0.199815226424229;0.593796741197534
